Target noise PSNR: 10
Actual noisy PSNR (clipped, blurred vs noisy): 12.6721
K_est (const): 3.335000e+00
Adaptive Wiener PSNR: 16.9049
K_constant,PSNR_constant(dB)
1.000000e-06,3.626384
1.743329e-06,3.633048
3.039195e-06,3.642928
5.298317e-06,3.656760
9.236709e-06,3.676585
1.610262e-05,3.704487
2.807216e-05,3.745533
4.893901e-05,3.806586
8.531679e-05,3.896697
1.487352e-04,4.032292
2.592944e-04,4.241305
4.520354e-04,4.569663
7.880463e-04,5.098446
1.373824e-03,5.971928
2.395027e-03,7.426243
4.175319e-03,9.739298
7.278954e-03,12.849555
1.268961e-02,16.111645
2.212216e-02,19.049523
3.335000e-02,20.842382
3.856620e-02,21.374813
6.438877e-02,22.741120
6.723358e-02,22.817681
1.172102e-01,23.277386
1.243153e-01,23.272886
2.043360e-01,22.894432
2.400152e-01,22.658550
3.562248e-01,21.897909
4.633968e-01,21.283477
6.210169e-01,20.541511
8.946791e-01,19.595484
1.082637e+00,19.116524
1.727355e+00,18.051033
1.887392e+00,17.871107
3.290345e+00,16.923989
3.335000e+00,16.904870
5.736153e+00,16.272682
6.438877e+00,16.169016
1.000000e+01,15.854576
1.243153e+01,15.738430
2.400152e+01,15.500011
4.633968e+01,15.372048
8.946791e+01,15.304517
1.727355e+02,15.269188
3.335000e+02,15.250796
